method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,average_remaining_kwh,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
online_lyapunov_admm,747.1380017018723,159.43636594692526,100.94892831276604,1.722485221290222,0.12,0.03333237310881347,0.9999453036139531,0.21183270000619814,0.020833333333333332,3.3867115498603084,,1897.0,45.0,42.15555555555556,5.5048776429661476e-05,0.005573280860843743,0.05,0.015
online_lyapunov_admm,746.4260536661633,159.43636594692526,98.24713250649867,1.7230278799925756,0.18,0.046739633473649,0.9999059993767321,0.2013763000140898,0.020833333333333332,3.3867115498603084,,1721.0,45.0,38.24444444444445,8.18611554756091e-06,0.005180115639867397,0.1,0.015
online_lyapunov_admm,744.0275525363751,159.43636594692526,98.24713250649869,1.7233814850370246,0.14,0.05499347412129916,0.9999297646649002,0.1511688000173308,0.020833333333333332,3.3867115498603084,,1544.0,46.0,33.56521739130435,2.1235047894940193e-05,0.006178400771105865,0.2,0.015
online_lyapunov_admm,726.6587631038431,153.58318811484565,99.1624850094496,1.6645357194576014,0.14,0.16508072959390568,0.999130302602543,0.02350539999315515,0.0,0.0,,1416.0,45.0,31.466666666666665,5.913375399900568e-05,0.006029600020344385,0.5,0.015
online_lyapunov_admm,706.4528046069053,143.40532182197958,100.13342602182162,1.5600204706010827,0.26,0.3200420609368864,0.9979056833518922,0.04222839997964911,0.0,0.0,,1443.0,46.0,31.369565217391305,0.0001168349848427736,0.008256017197775778,1.0,0.015
online_lyapunov_admm,676.0787696873258,136.62985313971797,94.86819371483901,1.5080713646593202,0.52,0.9082390094213625,0.9943914020313253,0.023546900018118322,0.0,0.0,,1485.0,46.0,32.28260869565217,0.00012184818337633158,0.008435733343394109,2.0,0.015
