method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,746.1343996103063,159.4363659469252,94.6099506017655,1.7219370145769854,0.02,0.04,0.02,0.01994584397323466,0.0010728801878303528,0.9999008218100821,0.0010288000048603863,0.020833333333333332,3.3867115498602516,,,,,,,,
greedy_deadline_price,709.6010760167441,155.4069655922975,108.72773673008041,1.680777667112916,0.1,0.1,0.06,0.07912177403926904,0.004255933411824198,0.9995445343885734,0.0025950999988708645,0.0,0.0,,,,,,,,
offline_centralized_lp,694.8199165924475,159.43636594692524,111.59885839511622,1.7211153301842268,0.0,0.0,0.0,6.394884621840901e-16,3.439786766326262e-17,0.9999999999999997,0.01960480000707321,0.020833333333333332,3.38671154986028,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,
online_lyapunov_admm,748.1114588150754,159.43636594692526,99.88273004326165,1.7211153355546638,0.0,0.0,0.0,1.294258553749539e-07,6.961772899212428e-09,0.9999999999999992,0.2678721999982372,0.020833333333333332,3.3867115498603084,,1710.0,45.0,38.0,1.9127278241734837e-05,0.004907641698903717,0.1,0.015
