method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,average_remaining_kwh,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,754.9707572656419,195.65899722595879,118.00000000000001,2.112138580267014,0.0,2.498001805406602e-18,0.9999999999999997,0.0005613999965135008,0.0,0.0,,,,,,,,
greedy_deadline_price,720.5756809648162,177.18351778464947,112.95765945534845,1.9126958075339329,0.0,2.220446049250313e-18,0.9999999999999997,0.0015683999808970839,0.0,0.0,,,,,,,,
offline_centralized_lp,664.5018793713134,191.96003375769607,145.18242140655667,2.0722082752001154,0.0,4.973799150320702e-16,0.9999999999999997,0.011794199992436916,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,
online_lyapunov_admm,751.5299638518891,164.1976366398166,97.1995159277864,1.773017038291348,0.04,0.011978368941597787,0.9999812968170845,0.017850800009910017,0.0,0.0,,992.0,46.0,21.565217391304348,0.000143297676727736,0.004687028937464317,3.0,0.015
