method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,worst_user_satisfaction,p95_remaining_kwh,deadline_weighted_satisfaction,runtime_s,capacity_violation_rate,capacity_violation_max_kw,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta,kappa,price_load_mode
online_lyapunov_admm,814.2533679844686,165.0555519285912,96.69012096292079,1.7817744393594717,0.0,0.0,0.0,1.1487258144621259e-07,6.17895722657572e-09,0.9999999999999997,0.99999995089278,6.902535769681687e-07,0.9999999939149058,0.07188450000830926,0.041666666666666664,9.005897531526244,1527,46,33.19565217391305,3.1730583127528756e-05,0.005441733486825514,0.2,0.015,0.0,aligned
online_lyapunov_admm,813.0241882159652,162.24595893775822,97.64419574181521,1.751444887494381,0.0,0.0,0.0,1.2278424639911024e-07,6.604523003190941e-09,0.9999999999999992,0.9999999045698552,8.698610101554038e-07,0.9999999931054406,0.09008279998670332,0.041666666666666664,6.196304540693262,1542,45,34.266666666666666,1.848716945983095e-05,0.00565523041932957,0.2,0.015,0.5,aligned
online_lyapunov_admm,811.3781169722506,159.43636594692526,98.24713250649866,1.7211153345741033,0.0,0.0,0.0,1.0549265110126886e-07,5.6744139521059535e-09,0.9999999999999992,0.9999999414218231,6.214888852662525e-07,0.9999999940437825,0.15157690001069568,0.020833333333333332,3.3867115498603084,1561,46,33.93478260869565,2.3134497522463974e-05,0.005761648541218264,0.2,0.015,1.0,aligned
online_lyapunov_admm,808.6357586092887,156.62677295609228,99.68052279690043,1.6907857827773383,0.0,0.0,0.0,1.1525408556589678e-07,6.199478203884781e-09,0.9999999999999994,0.9999999355598569,7.97480695091668e-07,0.9999999945322053,0.20251639999332838,0.020833333333333332,0.5771185590273262,1623,45,36.06666666666667,3.934456527000474e-05,0.0061159940349329684,0.2,0.015,1.5,aligned
online_lyapunov_admm,803.5377578540448,153.8171799652593,101.18389878445247,1.6604562282377922,0.0,0.0,0.0,5.6342397534436815e-08,3.0306384693811425e-09,0.9999999999999994,0.9999999479687374,3.1997243825077043e-07,0.9999999971646275,0.2488652999745682,0.0,0.0,1667,45,37.044444444444444,5.076523242238492e-05,0.006592248897484544,0.2,0.015,2.0,aligned
online_lyapunov_admm,563.1116148214513,165.0555519285912,92.5179060141617,1.7817744389798253,0.0,0.0,0.0,1.0685843175983755e-07,5.747878830878021e-09,0.9999999999999997,0.9999999259858808,5.857741421783079e-07,0.999999993634399,0.09924430001410656,0.08333333333333333,9.005897531526244,1497,45,33.266666666666666,2.062137530712415e-05,0.005880582573731711,0.2,0.015,0.0,inverted
online_lyapunov_admm,564.5359350248245,162.24595893775822,94.26436708132475,1.7514448854498341,0.0,0.0,0.0,7.516023116882486e-08,4.042843363358785e-09,0.9999999999999992,0.9999998977236586,5.294482219531105e-07,0.9999999957609892,0.12986970000201836,0.041666666666666664,6.196304540693262,1522,45,33.82222222222222,1.5461871306926233e-05,0.005222282518004262,0.2,0.015,0.5,inverted
online_lyapunov_admm,566.6159595250107,159.43636594692526,97.13789427951703,1.721115334546223,0.0,0.0,0.0,1.0493097783059736e-07,5.644201737223196e-09,0.9999999999999994,0.9999999482648477,5.488873817016681e-07,0.999999994392751,0.18457440001657233,0.020833333333333332,3.3867115498603084,1548,45,34.4,1.4244731914188475e-05,0.005125220771914608,0.2,0.015,1.0,inverted
online_lyapunov_admm,570.4216845311814,156.62677295609228,99.68052279690046,1.6907857803830086,0.0,0.0,0.0,5.681025355253055e-08,3.055804286041673e-09,0.9999999999999997,0.9999999405765307,4.0286278472079156e-07,0.999999996609535,0.23776429999270476,0.020833333333333332,0.5771185590273262,1586,45,35.24444444444445,1.8237671473470212e-05,0.006344711174476082,0.2,0.015,1.5,inverted
online_lyapunov_admm,574.8544183908161,153.8171799652593,101.18389878445248,1.6604562294176928,0.0,0.0,0.0,8.520628140745723e-08,4.5832170011672595e-09,0.9999999999999997,0.9999999226520793,6.960062047034477e-07,0.9999999950633811,0.2639836999878753,0.0,0.0,1642,46,35.69565217391305,5.5845200133963944e-05,0.006257024835016885,0.2,0.015,2.0,inverted
