method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,worst_user_satisfaction,p95_remaining_kwh,deadline_weighted_satisfaction,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,dual_iterations,before_repair_unserved_energy_ratio,before_repair_capacity_violation_rate,before_repair_capacity_violation_max_kw,offline_admm_iterations,offline_admm_primal_residual,offline_admm_dual_residual,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta,capacity_factor
uncontrolled_capped,822.9699534162745,195.65899722595879,118.00000000000001,2.112138580267014,0.0,0.0,0.0,2.498001805406602e-18,1.343666705596196e-19,0.9999999999999997,0.9999999999999998,0.0,0.9999999999999999,0.0005805999971926212,0.0,0.0,,,,,,,,,,,,,,,,0.4
greedy_deadline_price,786.2261252522,222.076599085291,173.4160401803912,2.397316552536752,0.0,0.0,0.0,5.551115123125783e-19,2.985926012435991e-20,0.9999999999999997,0.9999999999999998,0.0,0.9999999999999998,0.0015327000000979751,0.0,0.0,,,,,,,,,,,,,,,,0.4
offline_centralized_lp,720.3036879662696,223.09874597561165,176.32113362447225,2.4083506266777586,0.0,0.0,0.0,5.684341886080802e-16,3.057588236734455e-17,0.9999999999999997,0.9999999999999998,3.552713678800501e-15,0.9999999999999999,0.01798069998039864,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,0.4
dual_decomposition,720.3036879662695,223.09874597561165,176.32113362447225,2.4083506266777586,0.0,0.0,0.0,1.1368683772161603e-15,6.11517647346891e-17,0.9999999999999997,0.9999999999999997,3.552713678800501e-15,0.9999999999999998,0.06649040000047535,0.0,0.0,,250.0,6.11517647346891e-17,0.0,0.0,,,,,,,,,,,0.4
offline_admm,722.2429184095713,220.83178470115584,172.17122579625604,2.383878783135497,0.0,0.0,0.0,3.1974423109204507e-16,1.719893383163131e-17,0.9999999999999997,0.9999999999999999,3.552713678800501e-15,0.9999999999999999,3.7349731999856886,0.0,0.0,,,,,,200.0,0.0,0.11651938163313491,,,,,,,,0.4
online_lyapunov_admm,822.9543301445567,191.90784951792847,114.24885229196973,2.071644946691432,0.0,0.0,0.0,5.759124199755661e-09,3.0978133898287717e-10,0.9999999999999997,0.9999999815791457,0.0,0.9999999998071648,0.013218000007327646,0.0,0.0,,,,,,,,,436.0,45.0,9.688888888888888,6.809264334948305e-05,0.0007146101793243935,0.8,0.015,0.4
uncontrolled_capped,822.9699534162745,195.65899722595879,118.00000000000001,2.112138580267014,0.0,0.0,0.0,2.498001805406602e-18,1.343666705596196e-19,0.9999999999999997,0.9999999999999998,0.0,0.9999999999999999,0.0005194999976083636,0.0,0.0,,,,,,,,,,,,,,,,0.32
greedy_deadline_price,785.8143403900851,190.30059908529097,141.64004018039117,2.0542946804116697,0.0,0.0,0.0,5.551115123125783e-19,2.985926012435991e-20,0.9999999999999997,0.9999999999999998,0.0,0.9999999999999998,0.0015239000204019248,0.0,0.0,,,,,,,,,,,,,,,,0.32
offline_centralized_lp,727.8252908445912,195.12696559229747,145.18242140655664,2.106395299583219,0.0,0.0,0.0,5.684341886080802e-16,3.057588236734455e-17,0.9999999999999997,0.9999999999999998,3.552713678800501e-15,0.9999999999999999,0.013353399990592152,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,0.32
dual_decomposition,730.8329221707211,191.96003375769607,145.18242140655667,2.072208275200116,0.0,0.0,0.0,4.618527782440651e-16,2.484290442346745e-17,0.9999999999999997,0.9999999999999998,3.552713678800501e-15,0.9999999999999998,0.09516580001218244,0.0,0.0,,250.0,4.395283090305779e-17,0.041666666666666664,63.377758090222585,,,,,,,,,,,0.32
offline_admm,729.6959532809958,195.12696559229747,145.1824214065567,2.1063953917608647,0.0,0.0,0.0,1.8930889950752317e-06,1.018286154920978e-07,0.9999999999999749,0.9999994744590093,5.453514954023575e-06,0.9999999003744541,4.270416199986357,0.0,0.0,,,,,,200.0,2.456503239546603e-05,0.1205825196980961,,,,,,,,0.32
online_lyapunov_admm,821.4586743416505,171.23675984053074,94.78788924431402,1.8485005644867805,0.0,0.0,0.0,2.776065781331244e-19,1.4932363759090758e-20,0.9999999999999997,0.9999999999999998,4.235164736271502e-22,0.9999999999999999,0.023559400025987998,0.0,0.0,,,,,,,,,981.0,46.0,21.32608695652174,7.387343545180747e-05,0.002960441807528619,0.8,0.015,0.32
uncontrolled_capped,822.1228846218385,175.32436594692518,98.21137409136848,1.8928528246364142,0.02,0.02,0.0,0.005000401243748411,0.00026896988830450074,0.9999934121709853,0.9816732548387718,7.632783294297912e-18,0.9994327680650809,0.0019007999799214303,0.020833333333333332,3.3867115498602516,,,,,,,,,,,,,,,,0.26
greedy_deadline_price,780.844691602367,171.29496559229744,121.35042140655668,1.8516443327272487,0.04,0.04,0.04,0.055600359994664623,0.0029907245215874934,0.9997914371987662,0.9090909090909092,0.0,0.9979657840995582,0.0023142000136431307,0.0,0.0,,,,,,,,,,,,,,,,0.26
offline_centralized_lp,744.9693014678824,171.29496559229744,127.4868583951162,1.8491288954894074,0.0,0.0,0.0,5.684341886080802e-16,3.057588236734455e-17,0.9999999999999997,0.9999999999999998,3.552713678800501e-15,0.9999999999999999,0.017925299995113164,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,0.26
dual_decomposition,738.1137939424761,168.1280337576961,127.4868583951162,1.8226161631415319,0.1,0.1,0.08,0.1726851997115546,0.009288678370825988,0.9985881283932493,0.7806300808505375,1.3009194919477902,0.9846551627593663,0.10726369998883456,0.0,0.0,,250.0,4.777481619897586e-17,0.0625,70.51286103063688,,,,,,,,,,,0.26
offline_admm,747.3467158495398,171.29496559229747,127.48685839511619,1.849126317725676,0.0,0.0,0.0,7.105427357601002e-17,3.821985295918069e-18,0.9999999999999997,0.9999999999999999,0.0,0.9999999999999999,4.443279999977676,0.0,0.0,,,,,,200.0,0.00049143095212134,0.12495469898549508,,,,,,,,0.26
online_lyapunov_admm,802.7428373254143,155.93746343785142,99.8561145125318,1.6833446832914003,0.0,0.0,0.0,1.062055700939979e-08,5.712761623122199e-10,0.9999999999999997,0.9999999660296033,6.10622663543833e-17,0.9999999996443876,0.03060860000550747,0.0,0.0,,,,,,,,,1293.0,45.0,28.733333333333334,4.208008463403369e-05,0.006615931405717564,0.8,0.015,0.26
uncontrolled_capped,811.6826059699495,159.4363659469252,94.6099506017655,1.7219370145769854,0.02,0.04,0.02,0.01994584397323466,0.0010728801878303528,0.9999008218100821,0.9289509720080326,0.00023393814573119225,0.9977799983255657,0.0005833999894093722,0.020833333333333332,3.3867115498602516,,,,,,,,,,,,,,,,0.22
greedy_deadline_price,762.8536569348016,155.4069655922975,108.7277367300804,1.691306060831833,0.24,0.24,0.2,0.3348421157563362,0.01801104393116894,0.9976691244346434,0.8321483884822045,2.0493953057438876,0.9798532954476759,0.0018056000117212534,0.0,0.0,,,,,,,,,,,,,,,,0.22
offline_centralized_lp,762.5841192790107,155.40696559229747,111.59885839511622,1.6776179594268665,0.0,0.0,0.0,6.039613253960852e-16,3.248687501530359e-17,0.9999999999999997,0.9999999999999998,3.552713678800501e-15,0.9999999999999999,0.013794200000120327,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,0.22
dual_decomposition,754.7600593847542,155.40696559229752,111.59885839511622,1.684092453781447,0.12,0.12,0.08,0.15693257046379247,0.008441349782031251,0.9991520366093667,0.8127732446483528,1.1725234071054087,0.9883921150904231,0.08945359999779612,0.0,0.0,,250.0,4.013084560713973e-17,0.10416666666666667,122.776203932236,,,,,,,,,,,0.22
offline_admm,764.4533580013872,155.40696559229747,111.59885839511622,1.677614086865246,0.0,0.0,0.0,7.105427357601002e-17,3.821985295918069e-18,0.9999999999999997,0.9999999999999999,0.0,0.9999999999999999,4.393408299976727,0.0,0.0,,,,,,200.0,0.0006996977838350986,0.1306148455335997,,,,,,,,0.22
online_lyapunov_admm,784.3934470781858,149.6244575605112,104.0577923541019,1.6151957939358772,0.0,0.0,0.0,4.440892098500626e-18,2.388740809948793e-19,0.9999999999999997,0.9999999999999997,0.0,0.9999999999999999,0.04400200000964105,0.0,0.0,,,,,,,,,1459.0,46.0,31.717391304347824,6.735988003191243e-05,0.007735045055826457,0.8,0.015,0.22
uncontrolled_capped,791.4285160207492,151.4923659469252,93.97604018039121,1.6440415145315355,0.14,0.26,0.1,0.21867041040195778,0.011762207269835876,0.9987978860541333,0.850511654464532,1.8558958652655217,0.9823053905700195,0.000883800006704405,0.020833333333333332,3.3867115498602516,,,,,,,,,,,,,,,,0.2
greedy_deadline_price,745.9163030285424,147.46296559229748,103.65485839511621,1.6179116133802234,0.4,0.42,0.32,0.6629616797809509,0.03566048408290859,0.9939312764932664,0.7012065888644264,2.743962593193833,0.960380753997407,0.002470300009008497,0.0,0.0,,,,,,,,,,,,,,,,0.2
offline_centralized_lp,772.457070071977,147.46296559229745,103.65485839511621,1.5918624913955957,0.0,0.0,0.0,5.684341886080802e-16,3.057588236734455e-17,0.9999999999999997,0.9999999999999998,3.552713678800501e-15,0.9999999999999999,0.026306199986720458,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,0.2
dual_decomposition,757.1703065325783,147.46296559229748,103.6548583951162,1.6031735541335927,0.16,0.16,0.1,0.2896779428876679,0.0155816783783469,0.9983701520384902,0.8283986254625936,2.2489711650010187,0.9823286164146174,0.10899229999631643,0.0,0.0,,250.0,5.5418786790812e-17,0.125,99.05320450309341,,,,,,,,,,,0.2
offline_admm,773.7252206404685,147.46296559229745,103.65485839511621,1.5918638279853055,0.0,0.0,0.0,3.465077353908441e-05,1.8638533657922208e-06,0.999999999995236,0.9999909264982397,8.092749365724572e-05,0.9999982566133586,4.294034399994416,0.0,0.0,,,,,,200.0,0.0002553175660266055,0.09327438616279819,,,,,,,,0.2
online_lyapunov_admm,771.1352114581913,144.29603375769608,103.65485839511621,1.5618607667651578,0.3,0.3,0.02,0.10997021093623757,0.005915260378219044,0.9998865604437113,0.9615535603449058,0.43043938988217034,0.9940227143664588,0.14740679998067208,0.0,0.0,,,,,,,,,1588.0,46.0,34.52173913043478,0.00020806201544428164,0.006619349985910677,0.8,0.015,0.2
