method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,worst_user_satisfaction,p95_remaining_kwh,deadline_weighted_satisfaction,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta,n_ev,method_set
uncontrolled_capped,16963.938387040136,1934.566381541666,1866.910682520247,2.1720605926757353,0.0,0.0,0.0,4.662936703425658e-18,2.489655984575964e-19,1.0,0.9999999999999998,0.0,0.9999999999999998,0.0014230000087991357,0.0,0.0,,,,,,,,,1000,fast
greedy_deadline_price,16553.455723766398,2549.1521028149245,2505.288040180394,2.8631080138282647,0.007,0.007,0.007,0.0069259467116332615,0.0003697932392435033,0.9999595528464347,0.9,0.0,0.9997473870480424,0.013060199999017641,0.0,0.0,,,,,,,,,1000,fast
offline_centralized_lp,15407.087042358708,2556.0325270166327,2512.0957367300794,2.8698201201583515,0.0,0.0,0.0,4.511946372076636e-16,2.4090385526944567e-17,1.0,0.9999999999999997,3.552713678800501e-15,0.9999999999999998,0.2400334000121802,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,1000,fast
online_lyapunov_admm,16963.9346643654,1934.5556831964836,1866.8999841750647,2.1720485810809036,0.0,0.0,0.0,1.065656391407991e-09,5.6898001862675936e-11,1.0000000000000002,0.99999997244033,0.0,0.9999999999571236,0.010261299990816042,0.0,0.0,,426.0,48.0,8.875,0.0002390074809016028,8.657177776663743e-05,0.8,0.015,1000,fast
uncontrolled_capped,33634.84165136545,3670.1788572548203,3603.1892706339518,2.1294016167535563,0.0,0.0,0.0,4.773959005888173e-18,2.557338072795192e-19,1.0,0.9999999999999997,0.0,1.0,0.0011027000145986676,0.0,0.0,,,,,,,,,2000,fast
greedy_deadline_price,32664.87750777674,5030.345352502511,4968.072040180411,2.9197306207928477,0.008,0.008,0.008,0.007709458224836642,0.0004129840875190081,0.9999533991014233,0.8888888888888888,0.0,0.9997182432337177,0.02303890002076514,0.020833333333333332,8.143698105445765,,,,,,,,,2000,fast
offline_centralized_lp,30367.902075226724,5030.345352502496,4974.879736730084,2.9185568178166434,0.0,0.0,0.0,4.547473508864641e-16,2.436013196783513e-17,1.0,0.9999999999999997,3.552713678800501e-15,1.0,0.41182710000430234,0.020833333333333332,8.143698105431213,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,2000,fast
online_lyapunov_admm,33634.83486137522,3670.171507705773,3603.1819210849044,2.1293973526175987,0.0,0.0,0.0,2.7478019859472626e-18,1.471956216318163e-19,1.0,0.9999999999999997,0.0,1.0,0.011031700007151812,0.0,0.0,,416.0,48.0,8.666666666666666,0.0002927246199985011,9.149653132212538e-05,0.8,0.015,2000,fast
