method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,worst_user_satisfaction,p95_remaining_kwh,deadline_weighted_satisfaction,runtime_s,capacity_violation_rate,capacity_violation_max_kw,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
online_lyapunov_admm,813.8835443831467,159.43636594692526,101.92004018039123,1.7211153378693067,0.0,0.0,0.0,1.8438804028617083e-07,9.918170199333798e-09,0.9999999999999992,0.9999999287650658,6.46995134554601e-07,0.9999999909706687,0.20650420000310987,0.020833333333333332,3.3867115498603084,1910,45,42.44444444444444,0.00011834000476642418,0.00542860511781979,0.05,0.015
online_lyapunov_admm,813.4702237630454,159.43636594692526,100.43207726797131,1.7211153352336803,0.0,0.0,0.0,1.214087262718655e-07,6.53053424169942e-09,0.9999999999999991,0.9999999524615952,4.3177012757772416e-07,0.999999994616221,0.1914243999926839,0.020833333333333332,3.3867115498603084,1739,45,38.644444444444446,1.2177815486092393e-05,0.00555638149554487,0.1,0.015
online_lyapunov_admm,811.3781169722506,159.43636594692526,98.24713250649866,1.7211153345741033,0.0,0.0,0.0,1.0549265110126886e-07,5.6744139521059535e-09,0.9999999999999992,0.9999999414218231,6.214888852662525e-07,0.9999999940437825,0.13649989999248646,0.020833333333333332,3.3867115498603084,1561,46,33.93478260869565,2.3134497522463974e-05,0.005761648541218264,0.2,0.015
online_lyapunov_admm,796.6516430540822,153.3587185197019,102.85386677875744,1.655507135605165,0.0,0.0,0.0,6.048400738034587e-09,3.2534142594335273e-10,0.9999999999999998,0.99999998890156,0.0,0.999999999852164,0.027981299994280562,0.0,0.0,1491,46,32.41304347826087,5.1725786475662736e-05,0.005497908258582959,0.5,0.015
online_lyapunov_admm,784.3934470781858,149.6244575605112,104.0577923541019,1.6151957939358772,0.0,0.0,0.0,4.440892098500626e-18,2.388740809948793e-19,0.9999999999999997,0.9999999999999997,0.0,0.9999999999999999,0.023687300010351464,0.0,0.0,1459,46,31.717391304347824,6.735988003191243e-05,0.007735045055826457,0.8,0.015
online_lyapunov_admm,778.6582913142418,148.4185708244014,104.49384920731138,1.6021782488313827,0.0,0.0,0.0,1.0467643942746463e-08,5.630510202779753e-10,0.9999999999999994,0.9999999665187034,0.0,0.9999999996495077,0.0234372999984771,0.0,0.0,1442,45,32.044444444444444,0.0001823633697654002,0.006726552932319834,1.0,0.015
online_lyapunov_admm,774.3536895051077,150.20452614013016,110.6102998885666,1.6214576333789112,0.0,0.0,0.0,1.7763636156638284e-17,9.554999689087317e-19,0.9999999999999997,0.9999999999999997,1.863472483959451e-21,0.9999999999999999,0.023467499995604157,0.0,0.0,1430,46,31.08695652173913,8.045865838595992e-05,0.0069723526899127305,1.2,0.015
online_lyapunov_admm,764.3271806023939,151.19308464667975,111.5988583951162,1.6399497081176126,0.34,0.34,0.3,0.1957928935550882,0.010531633391653623,0.9996683337511606,0.9370943477835922,0.7729983950434152,0.9893160689910878,0.02269230000092648,0.0,0.0,1353,46,29.41304347826087,9.053292317993551e-05,0.005877316524490642,1.5,0.015
online_lyapunov_admm,752.9341409875362,152.2400337576961,111.5988583951162,1.6602845178898775,0.34,0.34,0.34,0.4170877940118378,0.022435011092117676,0.9985825799696602,0.8739067765889199,1.6183798822892057,0.977588461152064,0.022565200022654608,0.0,0.0,1279,46,27.804347826086957,0.00017712030522615705,0.0057860010086989875,2.0,0.015
online_lyapunov_admm,724.8806550597697,152.24003375769607,111.5988583951162,1.6829984130719038,0.42,0.42,0.42,0.9672623883068684,0.052028716069396456,0.9941873827655853,0.7692802049660257,3.1110445586924884,0.948868097552432,0.020267499989131466,0.0,0.0,1142,46,24.82608695652174,0.00022419050406262457,0.005506807742232791,5.0,0.015
