method,total_cost_mean,total_cost_std,peak_total_load_kw_mean,peak_total_load_kw_std,deadline_violation_rate_mean,deadline_violation_rate_std,average_remaining_kwh_mean,average_remaining_kwh_std,unserved_energy_ratio_mean,unserved_energy_ratio_std,capacity_violation_rate_mean,capacity_violation_rate_std,runtime_s_mean,runtime_s_std
dual_decomposition,999.9755628888122,136.92160936688208,207.9212710209036,5.659731993549724,0.048,0.1073312629199899,0.16441090917818807,0.36763396916497204,0.006281646246743357,0.014046188018324532,0.025,0.03423265984407288,0.092296139994869,0.020645502054286422
greedy_deadline_price,1040.3716513015643,109.65186248691909,208.10811326890956,4.506532167688523,0.14400000000000002,0.29979993328885185,0.2745849094650309,0.5951912213207887,0.010545761021215896,0.022711514817486674,0.03333333333333333,0.03486083443891982,0.0019637800054624678,0.0006240998054605719
offline_admm,1003.5519250556038,153.50600066809147,208.27813064259408,5.310850556523882,0.0,0.0,2.857953340680641e-05,4.2413572368277417e-05,1.5238483431275207e-06,2.3816639311636223e-06,0.03333333333333333,0.03784562942621865,3.7710382399964146,0.26686803729171177
offline_centralized_lp,1002.0178674620529,154.51337439416784,208.26068734993223,5.316680125109052,0.0,0.0,8.952838470577262e-16,3.9433521480735887e-16,4.009733778069713e-17,1.358802195386958e-17,0.0375,0.042695628191498324,0.017099379992578177,0.004067664042182137
online_lyapunov_admm,1048.296028100572,124.87860958519163,198.4922253398797,9.413753606143425,0.10800000000000001,0.24149534156997732,0.0288887954991705,0.06459731052423522,0.0011037539706299224,0.002468068908763813,0.0125,0.02795084971874737,0.07735653999843635,0.10602253477788591
uncontrolled_capped,1035.131222573436,93.89111120110898,211.17283570090098,7.613977157664302,0.22800000000000004,0.12696456198483103,0.7848259213119065,1.187767340680639,0.03205024735135769,0.04427640951913145,0.0625,0.03897559777889523,0.0007165399962104857,0.00020995452136843317
