method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,average_remaining_kwh,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,754.9707572656419,195.65899722595879,118.00000000000001,2.112138580267014,0.0,2.498001805406602e-18,0.9999999999999997,0.000534699996933341,0.0,0.0,,,,,,,,
greedy_deadline_price,720.5756809648162,177.18351778464947,112.95765945534845,1.9126958075339329,0.0,2.220446049250313e-18,0.9999999999999997,0.0015038000128697604,0.0,0.0,,,,,,,,
offline_centralized_lp,664.5018793713134,191.96003375769607,145.18242140655667,2.0722082752001154,0.0,4.973799150320702e-16,0.9999999999999997,0.012217799987411126,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,
online_lyapunov_admm,754.1172220693784,169.8011448855395,97.31694858381059,1.8330927066233926,0.02,0.002073021536611366,0.9999989213503997,0.01687999998102896,0.0,0.0,,1035.0,45.0,23.0,9.998727782099645e-05,0.003616717011633275,1.0,0.015
