method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,753.0562185032446,165.05555192859117,96.2680061573777,1.782325250047966,0.02,0.02,0.02,0.012911233469083438,0.000694490872786334,0.9999561066068775,0.0008073000062722713,0.08333333333333333,9.005897531526216,,,,,,,,
greedy_deadline_price,714.2694188113815,160.49386448667872,109.74094402866096,1.7345246075001781,0.04,0.04,0.04,0.0479541505046716,0.0025794375043611388,0.9995979188067197,0.0031974999874364585,0.041666666666666664,4.444210089613762,,,,,,,,
offline_centralized_lp,689.9682676556853,165.05555192859117,115.53003552730202,1.7817744343902335,0.0,0.0,0.0,6.394884621840901e-16,3.439786766326262e-17,0.9999999999999997,0.021123999991687015,0.0625,9.005897531526216,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,
online_lyapunov_admm,748.4076491482142,165.0555519285912,96.7390073957133,1.7817744389273609,0.0,0.0,0.0,1.0536537819350045e-07,5.667567985528881e-09,0.9999999999999997,0.0673440000100527,0.041666666666666664,9.005897531526244,,1508.0,46.0,32.78260869565217,3.277669189755784e-05,0.005500038289507875,0.2,0.015
