method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,753.0562185032446,165.05555192859117,96.2680061573777,1.782325250047966,0.02,0.02,0.02,0.012911233469083438,0.000694490872786334,0.9999561066068775,0.0014584999880753458,0.08333333333333333,9.005897531526216,,,,,,,,
greedy_deadline_price,714.2694188113815,160.49386448667872,109.74094402866096,1.7345246075001781,0.04,0.04,0.04,0.0479541505046716,0.0025794375043611388,0.9995979188067197,0.0027436999953351915,0.041666666666666664,4.444210089613762,,,,,,,,
offline_centralized_lp,689.9682676556853,165.05555192859117,115.53003552730202,1.7817744343902335,0.0,0.0,0.0,6.394884621840901e-16,3.439786766326262e-17,0.9999999999999997,0.021688799984985963,0.0625,9.005897531526216,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,
online_lyapunov_admm,723.3780545101813,147.63103877248597,101.8924214751962,1.5936768411225053,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.02434869998251088,0.0,0.0,,1425.0,46.0,30.97826086956522,7.21244012960937e-05,0.007482434870071006,1.0,0.015
