slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,online_lyapunov_admm_ev_load_kw
16,8.0,0.7001353612155393,48.07607781242106,48.05172142326065,156.04965439706496,101.396729581526,13.8,11.944161568272353,0.0,13.799927119185291
17,8.5,0.6552266310317532,49.433731000670534,56.262147492626454,156.04965439706496,99.91688760633407,25.362143786647145,19.199515565745287,13.616287424302644,25.36198690024269
18,9.0,0.6544848880777898,50.697400342677845,48.175550852952135,156.04965439706496,98.53948802354611,34.199999999999996,31.337166680649837,20.4,34.19977995749645
19,9.5,0.6483816216100315,51.86169699878106,50.06576055305258,156.04965439706496,97.27040466839358,47.16788939145081,40.26664945791457,35.93835010333657,47.16809478681704
20,10.0,0.5882755788876607,52.92870565685288,44.43406366509764,156.04965439706496,96.10736523109532,49.800000000000004,43.898568435091185,34.488,49.79956286630066
21,10.5,0.5566031420553642,53.9088728640776,61.33785528815807,156.04965439706496,95.03898297522036,64.2,50.17721733327168,43.7258910936024,64.19933082267717
22,11.0,0.5202891531680919,54.821344056924225,59.439802401736785,156.04965439706496,94.04438937501754,60.16749407027255,75.5592988567548,56.400000000000006,60.16765901988023
23,11.5,0.5407811934164085,55.69344701401885,60.13246476000159,156.04965439706496,93.0937971517844,60.20341351679805,80.35818686448162,49.800000000000004,60.2033042430651
24,12.0,0.5077940028780722,56.55902514996932,59.83230746296179,156.04965439706496,92.15031698359839,50.064,55.41046940448367,77.4,50.064217480005645
25,12.5,0.4613417364688941,57.45540109902627,58.00034185760413,156.04965439706496,91.17326719912633,43.56266281989997,44.426662819899974,70.80000000000001,43.5627135693225
26,13.0,0.5178702665478825,58.4189153844939,59.497466599530604,156.04965439706496,90.1230366279666,32.60395432033823,43.278326501181084,43.278326501181084,32.60463252751862
27,13.5,0.5147953882792222,59.47923530518867,58.20187586292966,156.04965439706496,88.96728791440931,11.288,22.561284797141067,64.93110772002427,11.288361113375379
28,14.0,0.5208594639203571,60.65293921829766,59.606600724941636,156.04965439706496,87.68795064912051,10.73980651489222,10.73980651489222,25.13980651489222,10.739867854296998
