method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,dual_iterations,offline_admm_iterations,offline_admm_primal_residual,offline_admm_dual_residual,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,754.8690087780351,175.32436594692518,98.21137409136848,1.8928528246364142,0.02,0.02,0.0,0.005000401243748411,0.00026896988830450074,0.9999934121709853,0.0011383999953977764,0.020833333333333332,3.3867115498602516,,,,,,,,,,,,
greedy_deadline_price,719.9782949572523,171.29496559229744,111.01208812881443,1.8491288954894072,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.0028427999932318926,0.0,0.0,,,,,,,,,,,,
offline_centralized_lp,678.6949041407563,171.29496559229744,127.4868583951162,1.8491288954894074,0.0,0.0,0.0,5.684341886080802e-16,3.057588236734455e-17,0.9999999999999997,0.022081500006606802,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,
dual_decomposition,676.718085011378,171.2949655922975,127.48685839511619,1.8523464257752495,0.08,0.08,0.06,0.0716685371796801,0.00385502632699037,0.9997547897344402,0.11268640001071617,0.0,0.0,,250.0,,,,,,,,,,
offline_admm,680.2319026216866,171.29496559229744,127.48685839511619,1.8491309646052747,0.0,0.0,0.0,4.600264252555775e-05,2.4744665515153387e-06,0.9999999999822698,5.225166999996873,0.0,0.0,,,200.0,0.0007299722406314507,0.08760282015279693,,,,,,,
online_lyapunov_admm,735.2592706537852,153.99385139153264,99.84116680157929,1.6623633941357507,0.0,0.0,0.0,9.631812576405005e-09,5.180919343391568e-10,0.9999999999999997,0.03415799999493174,0.0,0.0,,,,,,1263.0,45.0,28.066666666666666,5.0022959395356524e-05,0.005872902069061072,1.0,0.015
