method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,749.8415719934255,162.2459589377582,93.72455671018704,1.752109414081633,0.02,0.04,0.02,0.01584750854195261,0.0008524321138753954,0.9999348150581778,0.0007851000118535012,0.0625,6.196304540693234,,,,,,,,
greedy_deadline_price,711.8628128216412,157.95041503948812,107.60168271760885,1.70803508646424,0.1,0.1,0.04,0.07178739749440063,0.0038614197830383595,0.9996944361439122,0.0020668999932240695,0.020833333333333332,1.9007606424231653,,,,,,,,
offline_centralized_lp,692.3001254194085,162.2459589377582,113.56444696120913,1.75144488228723,0.0,0.0,0.0,6.394884621840901e-16,3.439786766326262e-17,0.9999999999999997,0.015538100007688627,0.041666666666666664,6.196304540693234,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,
online_lyapunov_admm,720.2909588956492,147.3351252094273,103.06449415258864,1.5904824546551215,0.0,0.0,0.0,9.159339953157542e-18,4.926777920519386e-19,0.9999999999999997,0.04293579998193309,0.0,0.0,,1429.0,46.0,31.065217391304348,6.3102818658362e-05,0.007005098585959216,1.0,0.015
