method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,dual_iterations,offline_admm_iterations,offline_admm_primal_residual,offline_admm_dual_residual,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,754.9707572656419,195.65899722595879,118.00000000000001,2.112138580267014,0.0,0.0,0.0,2.498001805406602e-18,1.343666705596196e-19,0.9999999999999997,0.0009821999992709607,0.0,0.0,,,,,,,,,,,,
greedy_deadline_price,720.5756809648162,177.18351778464947,112.95765945534845,1.9126958075339329,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.0027657999889925122,0.0,0.0,,,,,,,,,,,,
offline_centralized_lp,664.5018793713134,191.96003375769607,145.18242140655667,2.0722082752001154,0.0,0.0,0.0,4.973799150320702e-16,2.6753897071426484e-17,0.9999999999999997,0.01975249999668449,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,
dual_decomposition,672.655708732412,195.1269655922975,145.18242140655673,2.1063952995832196,0.0,0.0,0.0,6.039613253960852e-16,3.248687501530359e-17,0.9999999999999997,0.11281749999034218,0.0,0.0,,250.0,,,,,,,,,,
offline_admm,665.9748758414748,191.9600337576961,145.1824214065567,2.072225845490609,0.0,0.24,0.0,0.00034888757343207286,1.8766544339651475e-05,0.9999999990447486,4.380736299994169,0.0,0.0,,,200.0,0.004799282855075765,0.10035198304455364,,,,,,,
online_lyapunov_admm,754.1284514518067,169.80324900806548,96.69235221788203,1.833025817788713,0.0,0.0,0.0,1.340323182441594e-08,7.20955297585289e-10,0.9999999999999997,0.03077129999292083,0.0,0.0,,,,,,1041.0,45.0,23.133333333333333,0.00011396200293736599,0.00364597417868945,1.0,0.015
