method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,1519.263560695017,266.7909419111432,199.1533994051552,1.9873236840112871,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0007697000110056251,0.0,0.0,,,,,,,,
greedy_deadline_price,1455.0988443336519,248.34522163041345,187.38077108186397,1.8499216548421307,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.002524899988202378,0.0,0.0,,,,,,,,
offline_centralized_lp,1343.8224842198736,309.9056731018956,269.3424214065567,2.308484986607909,0.0,0.0,0.0,3.552713678800501e-16,1.8740552162306066e-17,0.9999999999999998,0.02072930001304485,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,
online_lyapunov_admm,1519.2724422657523,257.2409629227999,187.99733366029216,1.9161859636322123,0.0,0.0,0.0,1.3552527156068806e-22,7.148953308985162e-24,0.9999999999999998,0.010722100007114932,0.0,0.0,,605.0,47.0,12.872340425531915,0.0001774935173785835,0.0019667600088841696,1.0,0.015
