slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,online_lyapunov_admm_ev_load_kw
0,0.0,0.4370585993378968,30.00000061925505,26.827659284541003,319.92965439706495,286.6296537406546,0.0,0.0,0.0,0.0
1,0.5,0.48750000682977274,30.10266321047052,25.50566035209676,319.92965439706495,286.5208313939662,13.2,13.2,1.8479999999999963,13.2
2,1.0,0.4306340116436969,30.40889385576631,29.229360450109745,319.92965439706495,286.19622690995266,13.2,13.2,13.2,13.2
3,1.5,0.46003094981799847,30.913454581803283,35.58040708760151,319.92965439706495,285.66139254035346,24.200000000000003,24.200000000000003,24.200000000000003,24.199997565941473
4,2.0,0.4452844207110616,31.607715984434424,22.031152896366976,319.92965439706495,284.92547545356445,24.200000000000003,24.200000000000003,24.200000000000003,24.19999750222553
5,2.5,0.4334967649419043,32.47980711009322,34.29603141621587,319.92965439706495,284.00105886036613,24.200000000000003,24.200000000000003,24.200000000000003,24.199997427089677
6,3.0,0.4699694120975468,33.51482297205025,29.73796537032555,319.92965439706495,282.90394204669167,26.048000000000002,26.048000000000002,25.364253704808178,26.04797809987455
7,3.5,0.4571099915260651,34.69508799991182,38.42137650181173,319.92965439706495,281.6528611171584,18.764253704808176,18.764253704808176,24.200000000000003,18.764272159614222
8,4.0,0.486245587700767,36.00047408514821,32.055241799875425,319.92965439706495,280.2691518668079,24.2,24.2,24.2,24.199960946964165
9,4.5,0.48657139822769707,37.408772997167276,36.340025902936546,319.92965439706495,278.7763550200676,34.948321305763,34.948321305763,34.94832130576299,34.948333523768085
10,5.0,0.48519757210500625,38.896125006931236,33.12140114434363,319.92965439706495,277.1997618897178,38.0,38.0,44.599999999999994,37.999916153246126
11,5.5,0.5427525840274078,40.43750868782824,36.60054954289519,319.92965439706495,275.565895187967,38.0,38.0,31.4,37.99991003816477
12,6.0,0.5861766174105424,42.00730096597073,47.57898147929034,319.92965439706495,273.901915373136,31.18670258330192,11.185456872368627,13.068080562384095,31.18672803134332
13,6.5,0.6506801297219998,43.57992104663645,46.95643433609003,319.92965439706495,272.2349380876303,23.94565442168114,10.129456872368628,3.1959022466003706,23.945609872064903
14,7.0,0.6417120031679475,45.13057567782443,43.44042255331794,319.92965439706495,270.59124417857106,34.8,17.51225827496439,13.150923504447183,34.79981738301886
15,7.5,0.6898002733783635,46.63612428312431,42.895977719542735,319.92965439706495,268.99536265695315,28.799881858646764,17.51225827496439,0.0,28.8000075464417
16,8.0,0.6574391362130633,48.07607781242106,39.77255795225372,319.92965439706495,267.4690119158986,45.8,25.96443261031158,0.0,45.79985867515612
17,8.5,0.7077605530880013,49.433731000670534,47.675650732655754,319.92965439706495,266.02989953635415,73.40000000000002,39.784316386165756,0.0,73.39912215412423
18,9.0,0.6389526590298901,50.697400342677845,50.55704258970289,319.92965439706495,264.6904100338264,99.47621400223987,54.135613960810986,21.52800000000001,99.47611801292797
19,9.5,0.5846427019968425,51.86169699878106,51.47406336378299,319.92965439706495,263.45625557835706,110.2120805623841,57.262886693925196,45.561296043641335,110.21121619696328
20,10.0,0.5888571173312249,52.92870565685288,52.490160643958255,319.92965439706495,262.32522640080094,128.88235683359065,73.64063676958503,20.4,128.88231652465745
21,10.5,0.5822189067616538,53.9088728640776,48.59762886892473,319.92965439706495,261.28624916114273,136.88596574428487,81.55068150617483,82.29833046944592,136.8843825134954
22,11.0,0.4894458964778085,54.821344056924225,54.503939820578736,319.92965439706495,260.3190296967253,102.83630489285969,179.35282767082418,174.55199841724897,102.83735372108828
23,11.5,0.4847160601070407,55.69344701401885,55.5062057158767,319.92965439706495,259.39460056220497,81.41004148112236,180.91508865701434,203.39999999999992,81.41041803383749
24,12.0,0.4897489447778276,56.55902514996932,62.874444051896425,319.92965439706495,258.47708773809745,86.72287978909654,148.35984182444267,156.31119971624875,86.72281689406951
25,12.5,0.4881147121223956,57.45540109902627,66.69073644244196,319.92965439706495,257.5269292320971,62.25446093184386,97.76340161788994,192.08596574428483,62.255607846704
26,13.0,0.5446577775181094,58.4189153844939,57.73326682179034,319.92965439706495,256.5056040895014,61.882285571316025,92.74198200649171,99.83394835328562,61.88266287810907
27,13.5,0.5438311173301161,59.47923530518867,55.59501885927943,319.92965439706495,255.38166497356494,79.83511223042842,95.7874610443372,136.92304700134483,79.83561785730053
28,14.0,0.5841075558962655,60.65293921829766,60.31898459365104,319.92965439706495,254.13753882566942,82.222535759039,46.988207726068275,114.84378460290316,82.22239807455807
29,14.5,0.6631973132303426,61.937197289743494,58.76770384868906,319.92965439706495,252.77622526993684,65.95980371683721,46.282791958618375,65.95980371683723,65.9599889608205
30,15.0,0.6830504771359847,63.30461550384376,59.37099554565231,319.92965439706495,251.32676196299056,91.00000000000001,59.25333153686722,91.00000000000001,90.99918920866016
31,15.5,0.7706656093895677,64.7004019066441,64.38474537468599,319.92965439706495,249.8472283760222,107.4258197920001,63.80678916777401,97.30747854864101,107.42502898284991
32,16.0,0.7949218754949211,66.04288429510547,60.343757618507205,319.92965439706495,248.42419704425316,130.67085833010754,94.72267347031392,113.44926826597978,130.66993944664492
33,16.5,0.845860717961553,67.2280279610894,70.5820297846652,319.92965439706495,247.1679447583102,153.3278854527157,116.23483455513369,102.6343387195249,153.3274036032521
