method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,735.1910320690841,153.81717996525927,97.4410054134097,1.664704816053576,0.12,0.2,0.1,0.10596022792631046,0.005699564751066827,0.9995790350726672,0.0007997999782674015,0.0,0.0,,,,,,,,
greedy_deadline_price,695.5357730230021,150.32006669791627,107.66768126293047,1.638255823154901,0.26,0.26,0.2,0.3918005375417327,0.021074818136243425,0.9964657343922957,0.00245210001594387,0.0,0.0,,,,,,,,
offline_centralized_lp,699.8962282670622,153.8171799652593,107.66768126293046,1.66045622597822,0.0,0.0,0.0,6.394884621840901e-16,3.439786766326262e-17,0.9999999999999997,0.018636199994944036,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,
online_lyapunov_admm,708.7345637233803,147.96151113559185,107.66768126293046,1.6010230520540685,0.3,0.3,0.0,0.09684440418684648,0.0052092276814021616,0.99991319098905,0.08528679999290034,0.0,0.0,,1419.0,45.0,31.533333333333335,9.756408858197294e-05,0.006364161949978899,1.0,0.015
