slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,dual_decomposition_ev_load_kw,offline_admm_ev_load_kw,online_lyapunov_admm_ev_load_kw
0,0.0,0.44723528261631224,30.00000061925505,27.89046617662522,566.7776543970649,533.4776537406545,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.46154765457660607,30.10266321047052,26.463429309686074,566.7776543970649,533.3688313939662,21.0,21.0,11.06998525488932,11.069985254889321,14.491127155610275,21.0
2,1.0,0.4687300234426867,30.40889385576631,34.59801180759701,566.7776543970649,533.0442269099526,21.0,21.0,1.8479999999999939,1.84799999999999,12.336416495785887,21.0
3,1.5,0.439435202334643,30.913454581803283,30.588406986914464,566.7776543970649,532.5093925403534,35.4,35.4,35.4,35.4,32.197500169289825,35.4
4,2.0,0.4586495307431726,31.607715984434424,27.191518127696224,566.7776543970649,531.7734754535644,35.4,35.4,22.757055048140057,22.757055048140057,25.811761379423576,35.4
5,2.5,0.44539927313628536,32.47980711009322,31.24261268777857,566.7776543970649,530.8490588603661,53.6,53.6,53.6,53.6,47.696424469911065,53.6
6,3.0,0.4582893143531349,33.51482297205025,36.78364506231337,566.7776543970649,529.7519420466916,46.68741454185557,46.68741454185557,48.562647392904175,48.562647392904175,47.6697980356292,46.68741454185557
7,3.5,0.45768226734358786,34.69508799991182,38.964746429770656,566.7776543970649,528.5008611171584,37.06998525488932,37.06998525488932,50.28235949371551,50.28235949371552,42.20983989782608,37.06998525488932
8,4.0,0.44262548123653706,36.00047408514821,34.43728076044865,566.7776543970649,527.1171518668078,45.76264739290418,45.76264739290418,72.4,72.4,67.60594122981051,45.76264739290418
9,4.5,0.4872258462825358,37.408772997167276,38.930251798279585,566.7776543970649,525.6243550200676,68.43243992894496,68.43243992894496,68.43243992894496,68.43243992894496,71.3146184615177,68.43242524178726
10,5.0,0.534271766539088,38.896125006931236,41.633759463151414,566.7776543970649,524.0477618897178,76.55091692322823,76.55091692322823,61.78557142516321,61.78557142516321,60.47186963819234,76.55071373054675
11,5.5,0.5211288578185885,40.43750868782824,37.90654358085015,566.7776543970649,522.413895187967,76.0290305303288,76.0290305303288,82.08500100608542,82.08500100608542,71.31480716826545,76.0290236344035
12,6.0,0.578850444453268,42.00730096597073,43.43470151451802,566.7776543970649,520.749915373136,48.49077922657289,14.529117576201202,25.13105829651887,25.131058296518862,36.378352450324684,48.490997226984234
13,6.5,0.6433380574863986,43.57992104663645,43.448749954012385,566.7776543970649,519.0829380876303,40.93408408285719,20.8651175762012,21.0,21.0,20.88795286407708,40.934090858210354
14,7.0,0.6376221006826477,45.13057567782443,42.87507364879376,566.7776543970649,517.439244178571,46.556540894834406,28.93364066991479,32.0,32.0,29.636034485743693,46.556540894834406
15,7.5,0.69534947814775,46.63612428312431,44.52079004325505,566.7776543970649,515.8433626569531,59.60000000000001,36.326004977543825,7.2,7.2,10.311761567525084,59.599997073127845
16,8.0,0.6739828589949783,48.07607781242106,48.36999483320368,566.7776543970649,514.3170119158985,91.0,48.29064000628075,32.45615036536378,32.45615036536377,25.09665978265354,90.99998843743319
17,8.5,0.7198389891002628,49.433731000670534,49.567057385733186,566.7776543970649,512.8778995363542,132.7329410249047,65.78875297143124,13.271999999999995,13.271999999999991,7.9891199720077015,132.73285110162203
18,9.0,0.7238102679429027,50.697400342677845,48.12903317948457,566.7776543970649,511.5384100338264,167.530293901637,91.81949981813179,1.7040000000000055,1.703999999999989,9.771147521992383,167.53032965734798
19,9.5,0.6803580721300768,51.86169699878106,49.8973651671831,566.7776543970649,510.30425557835696,188.37727086323954,121.27374538876076,32.845654261435115,32.84565426143509,43.21076323227139,188.37678645057102
20,10.0,0.5848580212437648,52.92870565685288,58.134361453459135,566.7776543970649,509.17322640080084,219.46599211414906,149.2127485454057,114.00113083456075,114.00113083456071,144.78517275818035,219.46444920282997
21,10.5,0.5730817610135983,53.9088728640776,54.921244357551835,566.7776543970649,508.1342491611427,208.49321487159185,159.25335671692636,152.94441907028738,152.94441907028732,178.87721365452532,208.49094062404433
22,11.0,0.5305820133956093,54.821344056924225,59.06030937442155,566.7776543970649,507.16702969672525,168.27045627368622,312.0456954647935,282.2864093123807,282.2864093123807,270.4704426012897,168.27079416448598
23,11.5,0.5144695971434835,55.69344701401885,61.512197729605575,566.7776543970649,506.2426005622049,184.29719600816108,306.1722344069848,348.53151313908955,348.53151313908955,322.84581068025443,184.29666052725148
24,12.0,0.5470247435776053,56.55902514996932,59.44054918976772,566.7776543970649,505.3250877380974,177.13870816775307,255.59660540267728,280.4852329525417,280.4852329525417,267.27996139759915,177.14021047113016
25,12.5,0.48337263887634185,57.45540109902627,68.69021160824052,566.7776543970649,504.37492923209703,145.36938868073034,189.69887950858464,365.99999999999983,365.99999999999983,359.5865853031307,145.3706545130795
26,13.0,0.5615544452463976,58.4189153844939,54.28815735296226,566.7776543970649,503.35360408950135,141.97809410413885,179.75804420458016,229.20063653101764,229.20063653101764,211.0055469460142,141.97853754318837
27,13.5,0.562790903577335,59.47923530518867,63.57686475940692,566.7776543970649,502.22966497356487,145.138153124827,166.71051222936046,214.24025071168708,214.24025071168708,231.8595149607299,145.13887311147445
28,14.0,0.6373589398228741,60.65293921829766,59.01794123521567,566.7776543970649,500.9855388256694,146.94718350187102,67.75612467443914,159.60310884607875,159.60310884607878,152.11399226673512,146.94763039014086
29,14.5,0.6532955124857709,61.937197289743494,71.61739303142626,566.7776543970649,499.6242252699368,159.0076255681344,74.542706909934,167.13573311043558,167.13573311043555,159.26166784467173,159.00750700711538
30,15.0,0.6851215430470471,63.30461550384376,72.3140181702558,566.7776543970649,498.17476196299054,154.3485271145769,96.49928999047651,154.3485271145769,154.3485271145769,167.43053677290092,154.3481873175659
31,15.5,0.7667746163638343,64.7004019066441,54.18279020045634,566.7776543970649,496.69522837602216,149.40071464433055,97.52053855597521,149.40071464433055,142.20071464433056,145.22770402680862,149.40066320000358
32,16.0,0.8376056821677142,66.04288429510547,60.7503816622389,566.7776543970649,495.2721970442531,211.82237689834994,147.02973378768078,179.92890820288042,201.30499750509443,177.08995872907383,211.82095704312692
33,16.5,0.8770582726697151,67.2280279610894,70.9041241437886,566.7776543970649,494.0159447583101,265.9453290902432,160.03647294552877,178.9323932820406,223.32852908036284,177.07408426145275,265.9404337681124
34,17.0,0.9386807596886396,68.13800028839286,72.5519994337136,566.7776543970649,493.0513740913685,318.3464234615167,198.53246459474377,94.42531356252394,126.13812924059829,117.16341233806105,318.3422954992563
35,17.5,0.9529769217732829,68.65309969443253,72.7919910124715,566.7776543970649,492.50536872096643,364.3847336585409,239.6874546673493,96.86966048262386,141.2182943554178,123.08528113033996,364.382237959774
36,18.0,0.9379533564049034,68.66565439706494,68.2673955568198,566.7776543970649,492.4920607361761,368.0999495189891,259.8570277437349,215.2943961064928,251.04822629248594,180.73923490598406,368.0964850731847
37,18.5,1.0225005998014236,68.09396651815139,70.63610668636893,566.7776543970649,493.09804988782446,365.48446402846986,286.94454875454966,9.76799999999999,21.887999999999973,30.587290931251413,365.48432993613517
38,19.0,1.0087793996296806,66.89417145876976,70.49470328595379,566.7776543970649,494.369832650769,308.9699404529965,310.6462786896071,66.61778259996707,109.57187125110627,53.1521323582823,308.9733352725682
39,19.5,0.9697230376031981,65.06807963641094,64.64725669404638,566.7776543970649,496.3054899824693,300.7292774492058,311.4820430958267,72.74668468241225,151.68956785418263,97.6905300608314,300.73167013795756
40,20.0,0.9281891352225304,62.66565439706494,68.06920035625384,566.7776543970649,498.85206073617604,310.0331734732796,327.48155173826837,214.6379688644967,341.0105530246994,199.70679230558312,310.02989236904983
41,20.5,0.9020679801280881,59.781648239687264,48.28781418133701,566.7776543970649,501.9091072629964,328.34093833792184,357.1614707406803,274.5338956120899,444.0795552931735,249.6971982368549,328.33969219664624
42,21.0,0.8077659952734396,56.54689037292404,59.64792381249067,566.7776543970649,505.3379506017654,331.4185609154245,376.0360036660472,452.0559853220303,136.49900141474578,454.6931034259133,331.41722821410576
43,21.5,0.742140291142099,53.11558668921349,48.269049100640686,566.7776543970649,508.9751325064986,287.1636373163265,379.47804341646884,508.97513250649865,508.97513250649894,508.97513250649865,287.1646077285909
44,22.0,0.6970946022370065,49.6505794496922,53.94453068192074,566.7776543970649,512.6480401803911,237.62045101562282,369.36291881247337,512.6480401803911,512.6480401803911,512.6480401803913,237.62690558296492
45,22.5,0.6779737134425918,46.30871036840401,45.33027888318411,566.7776543970649,516.1904214065567,192.59999999999988,358.15274806295173,516.1904214065568,231.42468481224756,516.1904214065569,192.59988298422718
46,23.0,0.5665011216662904,43.228224214136375,39.5898015815249,566.7776543970649,519.4557367300804,176.05412274181091,449.5598048767025,519.4557367300804,519.4557367300804,519.4557367300802,176.05694912050825
47,23.5,0.5914637877534761,40.519618869762944,41.989494478030856,566.7776543970649,522.3268583951162,42.06694118238585,170.11566252186543,495.99999999999983,495.99999999999983,495.99999999999983,42.07411582619691
