method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,dual_iterations,offline_admm_iterations,offline_admm_primal_residual,offline_admm_dual_residual,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,2911.25677954497,437.1767246710124,368.0999495189891,2.0631901240105943,0.0,0.0,0.0,9.020562075079397e-19,5.0411991128971487e-20,1.0,0.0010723000159487128,0.0,0.0,,,,,,,,,,,,
greedy_deadline_price,2800.365705566526,489.1496064582274,449.5598048767025,2.308468361319421,0.0,0.0,0.0,8.049116928532384e-18,4.498300746892841e-19,1.0,0.005651499988744035,0.0,0.0,,,,,,,,,,,,
offline_centralized_lp,2584.0036030496135,566.5925708623118,519.4557367300804,2.673948841674018,0.0,0.0,0.0,3.4638958368304885e-16,1.935820459352505e-17,1.0,0.07661560000269674,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,
dual_decomposition,2639.72607261702,566.5925708623118,519.4557367300804,2.673948841674018,0.0,0.0,0.0,8.171241461241152e-16,4.5665508271905246e-17,1.0,0.4400669000169728,0.0,0.0,,250.0,,,,,,,,,,
offline_admm,2589.111608732038,566.592570862312,519.4557367300802,2.673947664815153,0.0,0.0,0.0,7.105427357601002e-17,3.97091376277437e-18,1.0,15.533531699999003,0.0,0.0,,,200.0,0.00034170158175335456,0.21219551734676534,,,,,,,
online_lyapunov_admm,2911.2546371844,437.1742289722455,368.0964850731847,2.063178345933771,0.0,0.0,0.0,4.787870675013878e-18,2.6757323100992894e-19,1.0,0.008637999999336898,0.0,0.0,,,,,,377.0,47.0,8.02127659574468,0.0002709592776002504,0.0004281318712141712,1.0,0.015
