slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,online_lyapunov_admm_ev_load_kw
0,0.0,0.45629051760697276,30.00000061925505,35.128894060328776,1316.9216543970651,1283.6216537406547,0.0,0.0,0.0,0.0
1,0.5,0.42249190059685127,30.10266321047052,26.6263957151294,1316.9216543970651,1283.5128313939663,19.799999999999997,19.799999999999997,19.799999999999997,19.799999999999997
2,1.0,0.443212506996682,30.40889385576631,34.33584844190912,1316.9216543970651,1283.1882269099528,19.799999999999997,19.799999999999997,13.2,19.799999999999997
3,1.5,0.444545483085583,30.913454581803283,29.65463695215666,1316.9216543970651,1282.6533925403537,32.4862068944292,32.4862068944292,26.4,32.4862068944292
4,2.0,0.43369894858440033,31.607715984434424,29.00004424230399,1316.9216543970651,1281.9174754535647,37.4,37.4,43.4862068944292,37.4
5,2.5,0.5006124820128772,32.47980711009322,32.83390260482881,1316.9216543970651,1280.9930588603663,51.800000000000004,51.800000000000004,16.12352327893323,51.800000000000004
6,3.0,0.4076245217916741,33.51482297205025,32.76228389296872,1316.9216543970651,1279.8959420466917,59.00000000000001,59.00000000000001,65.6,59.00000000000001
7,3.5,0.4705104670576121,34.69508799991182,31.158179185294685,1316.9216543970651,1278.6448611171586,51.598208671250255,51.598208671250255,66.20000000000002,51.598208671250255
8,4.0,0.47945343519876876,36.00047408514821,30.154199281935995,1316.9216543970651,1277.261151866808,86.26140024382713,86.26140024382713,89.4589133675795,86.26140024382713
9,4.5,0.47326328095274506,37.408772997167276,33.8810737996704,1316.9216543970651,1275.768355020068,114.2650364026856,114.2650364026856,132.14220867125024,114.2650364026856
10,5.0,0.5160805501219268,38.896125006931236,44.46412493767127,1316.9216543970651,1274.191761889718,122.664,122.664,115.464,122.664
11,5.5,0.567244439324528,40.43750868782824,48.143048223765575,1316.9216543970651,1272.5578951879672,119.06607523950322,57.28727419048626,80.45696755824021,119.06607523950322
12,6.0,0.5886961165586307,42.00730096597073,44.621053867670646,1316.9216543970651,1270.8939153731362,138.48,80.41459000593136,94.15682246788461,138.48
