method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,7863.944815775056,1146.9707881733057,1080.1867332337608,2.4165515808033695,0.0,0.0,0.0,4.496403249731884e-18,2.3782570422008467e-19,1.0,0.0010308999917469919,0.0,0.0,,,,,,,,
greedy_deadline_price,7604.337536662098,1114.4377507544507,1059.1624085176852,2.3480077575312213,0.0,0.0,0.0,5.551115123125783e-19,2.93611980518623e-20,1.0,0.006724000006215647,0.0,0.0,,,,,,,,
offline_centralized_lp,7018.311705458868,1318.489463848762,1269.5997367300806,2.7779241032029516,0.0,0.0,0.0,4.1566750041965863e-16,2.198566510123449e-17,1.0,0.10597340000094846,0.020833333333333332,1.567809451696803,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,
online_lyapunov_admm,7842.30783126752,1063.0565202019316,1004.5032309280873,2.239752695418382,0.0,0.0,0.0,3.1363800445660673e-18,1.6589076899302202e-19,1.0,0.016747399989981204,0.0,0.0,,700.0,47.0,14.893617021276595,0.00012311365644533274,0.005750694382932294,1.0,0.015
