method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,average_remaining_kwh,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,754.9707572656419,195.65899722595879,118.00000000000001,2.112138580267014,0.0,2.498001805406602e-18,0.9999999999999997,0.000547999981790781,0.0,0.0,,,,,,,,
greedy_deadline_price,720.5756809648162,177.18351778464947,112.95765945534845,1.9126958075339329,0.0,2.220446049250313e-18,0.9999999999999997,0.001471000025048852,0.0,0.0,,,,,,,,
offline_centralized_lp,664.5018793713134,191.96003375769607,145.18242140655667,2.0722082752001154,0.0,4.973799150320702e-16,0.9999999999999997,0.014959899999666959,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,
online_lyapunov_admm,755.2358838538994,176.53839425353743,98.87939702757868,1.9057317338729145,0.0,7.383289652249104e-07,0.9999999999999764,0.015575800003716722,0.0,0.0,,920.0,45.0,20.444444444444443,4.3319696642655465e-05,0.0024826246763886358,0.5,0.015
