method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,dual_iterations,offline_admm_iterations,offline_admm_primal_residual,offline_admm_dual_residual,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,754.9707572656419,195.65899722595879,118.00000000000001,2.112138580267014,0.0,0.0,0.0,2.498001805406602e-18,1.343666705596196e-19,0.9999999999999997,0.001259100012248382,0.0,0.0,,,,,,,,,,,,
greedy_deadline_price,720.5756809648162,177.18351778464947,112.95765945534845,1.9126958075339329,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.004559199995128438,0.0,0.0,,,,,,,,,,,,
offline_centralized_lp,660.3763150779855,223.09874597561165,176.32113362447225,2.4083506266777586,0.0,0.0,0.0,5.684341886080802e-16,3.057588236734455e-17,0.9999999999999997,0.04381240002112463,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,
dual_decomposition,660.3763150779855,223.09874597561165,176.32113362447225,2.408350626677758,0.0,0.0,0.0,1.2079226507921704e-15,6.497375003060718e-17,0.9999999999999997,0.12120989998220466,0.0,0.0,,250.0,,,,,,,,,,
offline_admm,661.972726815255,221.6169981074938,172.956439202594,2.3923551606738833,0.0,0.0,0.0,2.1316282072803005e-16,1.1465955887754207e-17,0.9999999999999997,4.382178800005931,0.0,0.0,,,200.0,0.0,0.10675609069553442,,,,,,,
online_lyapunov_admm,755.0248854740288,191.35533545835835,113.69633823239958,2.0656805579698263,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.01366940001025796,0.0,0.0,,,,,,420.0,46.0,9.130434782608695,0.00010475840147850601,0.0007955370734655419,1.0,0.015
