slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,dual_decomposition_ev_load_kw,offline_admm_ev_load_kw,online_lyapunov_admm_ev_load_kw
21,10.5,0.5566031420553642,53.9088728640776,61.33785528815807,227.54565439706494,168.90224916114266,64.2,50.17721733327168,43.7258910936024,43.72589109360241,45.36696164659972,64.19925679380185
22,11.0,0.5202891531680919,54.821344056924225,59.439802401736785,227.54565439706494,167.93502969672525,60.16749407027255,75.5592988567548,56.400000000000006,56.400000000000006,62.174541683525376,60.16714543709957
23,11.5,0.5407811934164085,55.69344701401885,60.13246476000159,227.54565439706494,167.01060056220496,60.20341351679805,80.35818686448162,49.800000000000004,49.800000000000004,47.008876332306194,60.20315841599199
24,12.0,0.5077940028780722,56.55902514996932,59.83230746296179,227.54565439706494,166.09308773809744,50.064,55.41046940448367,77.4,77.4,60.76382908442118,50.06429484467188
25,12.5,0.4613417364688941,57.45540109902627,58.00034185760413,227.54565439706494,165.1429292320971,43.56266281989997,44.426662819899974,70.80000000000001,70.80000000000001,70.80000000000001,43.56266583331645
26,13.0,0.5178702665478825,58.4189153844939,59.497466599530604,227.54565439706494,164.12160408950137,32.60395432033823,43.278326501181084,43.278326501181084,43.278326501181084,52.88425348792639,32.6049476281997
27,13.5,0.5147953882792222,59.47923530518867,58.20187586292966,227.54565439706494,162.99766497356495,11.288,22.561284797141067,64.93110772002427,64.93110772002427,54.463136383846184,11.288511719899468
28,14.0,0.5208594639203571,60.65293921829766,59.606600724941636,227.54565439706494,161.7535388256694,10.73980651489222,10.73980651489222,25.13980651489222,25.13980651489222,34.28520518221649,10.739867774819976
29,14.5,0.635361794518977,61.937197289743494,62.220457518049436,227.54565439706494,160.39222526993683,0.0,0.0,0.0,0.0,0.0,2.339961946405268e-06
30,15.0,0.7352773391627698,63.30461550384376,71.31470692740396,227.54565439706494,158.94276196299055,14.4,4.675641979600277,14.4,14.4,13.87205333818524,14.399930223429205
31,15.5,0.7610241045983146,64.7004019066441,67.69112759425477,227.54565439706494,157.4632283760222,32.0,13.503638705587889,32.0,32.0,27.05453211870246,31.999936801390206
32,16.0,0.7898928621068477,66.04288429510547,65.72354158718498,227.54565439706494,156.04019704425315,74.4,35.0217693829789,60.00000000000001,60.00000000000001,63.38623211705527,74.39970265059608
33,16.5,0.8526466841118747,67.2280279610894,64.0218567873658,227.54565439706494,154.78394475831018,87.084197924112,40.98327030338246,66.74167835867263,66.74167835867262,65.56295467844355,87.08352148366274
34,17.0,0.9547451335309749,68.13800028839286,64.58945093017229,227.54565439706494,153.81937409136853,101.20917404857703,51.46759300323272,34.95186529776473,34.95186529776473,32.88645119484844,101.20810155511326
35,17.5,0.969959466750794,68.65309969443253,77.65899722595876,227.54565439706494,153.27336872096646,118.00000000000001,58.70569710109406,25.616563765480965,25.616563765480958,21.38346635168955,113.69633823239958
36,18.0,0.9925004349650817,68.66565439706494,71.51320627257192,227.54565439706494,153.2600607361761,105.39887601857461,60.40680458368107,2.6400000000000023,2.640000000000006,9.921235542825094,107.76610845198553
37,18.5,0.9986634654861386,68.09396651815139,68.47127948297066,227.54565439706494,153.8660498878245,72.05943910365444,60.31676247364985,0.0,0.0,7.3798426670218005,73.99669247575407
38,19.0,0.9922604127639569,66.89417145876976,64.98544584524805,227.54565439706494,155.13783265076898,79.69923490076832,72.71588932428669,3.497536789656618,3.4975367896566034,9.876014847751089,79.69894701192618
39,19.5,0.9861537191614347,65.06807963641094,59.07466097604636,227.54565439706494,157.07348998246934,79.02328674673511,87.38380665479954,17.576576448356906,17.576576448356896,13.37220026222633,79.02386585381028
40,20.0,0.9402930536011742,62.66565439706494,62.31396666568862,227.54565439706494,159.6200607361761,82.79105386086061,100.23842362501708,52.669265500207,52.66926550020698,46.75025698614965,82.79065827931758
41,20.5,0.881553203394832,59.781648239687264,64.22585832930102,227.54565439706494,162.67710726299646,92.60000000000001,112.95765945534845,94.03374404875704,94.03374404875703,91.50681391419732,92.59955533984852
42,21.0,0.7931219544706033,56.54689037292404,54.62627886281527,227.54565439706494,166.10595060176544,87.97098388229982,110.02920791874311,123.73154419498682,123.73154419498682,136.50698391510923,87.97046382016718
43,21.5,0.7725813618988051,53.11558668921349,52.050515427701825,227.54565439706494,169.74313250649863,75.02467569775301,103.15866079628312,145.50311998200672,145.50311998200672,133.9028564516844,75.02454372857869
44,22.0,0.6847021720245938,49.6505794496922,48.6605589048998,227.54565439706494,173.4160401803912,75.71502106750292,109.72457541120944,161.25759261968236,161.25759261968236,172.956439202594,75.7152758339952
45,22.5,0.6755924256263155,46.30871036840401,46.77761235113939,227.54565439706494,176.95842140655668,57.977551230351544,100.88162031150344,176.32113362447225,176.32113362447225,164.6222870415607,57.977996699531005
46,23.0,0.5694026737297994,43.228224214136375,36.70692600949955,227.54565439706494,180.22373673008036,37.683126148854754,83.3547427223125,143.39999999999998,143.39999999999998,143.39999999999998,37.68438674053232
47,23.5,0.5582275135312361,40.519618869762944,39.59422625156356,227.54565439706494,183.0948583951162,10.303999999999997,77.81485687733354,129.0,129.0,129.0,10.30459544800649
