method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta,kappa
online_lyapunov_admm,723.3780545101813,147.63103877248597,101.8924214751962,1.5936768411225053,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.02434869998251088,0.0,0.0,,1425.0,46.0,30.97826086956522,7.21244012960937e-05,0.007482434870071006,1.0,0.015,0.0
online_lyapunov_admm,720.2909588956492,147.3351252094273,103.06449415258864,1.5904824546551215,0.0,0.0,0.0,9.159339953157542e-18,4.926777920519386e-19,0.9999999999999997,0.04293579998193309,0.0,0.0,,1429.0,46.0,31.065217391304348,6.3102818658362e-05,0.007005098585959216,1.0,0.015,0.5
online_lyapunov_admm,717.3222301659013,148.0166746263745,104.01528297843917,1.5978397795842185,0.0,0.0,0.0,2.7755575615628914e-19,1.4929630062179956e-20,0.9999999999999997,0.03808769999886863,0.0,0.0,,1433.0,46.0,31.152173913043477,0.00012850524504344667,0.006397265788605749,1.0,0.015,1.0
online_lyapunov_admm,714.3949028101877,148.56839029650467,105.26116441407126,1.6037955497550531,0.0,0.0,0.0,9.081412546407818e-09,4.884861032518573e-10,0.9999999999999997,0.032852200005436316,0.0,0.0,,1437.0,45.0,31.933333333333334,6.650908537109047e-05,0.007407962872546884,1.0,0.015,1.5
online_lyapunov_admm,708.7345637233803,147.96151113559185,107.66768126293046,1.6010230520540685,0.3,0.3,0.0,0.09684440418684648,0.0052092276814021616,0.99991319098905,0.08528679999290034,0.0,0.0,,1419.0,45.0,31.533333333333335,9.756408858197294e-05,0.006364161949978899,1.0,0.015,2.0
