method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta
uncontrolled_capped,746.1343996103063,159.4363659469252,94.6099506017655,1.7219370145769854,0.02,0.04,0.02,0.01994584397323466,0.0010728801878303528,0.9999008218100821,0.0009258999780286103,0.020833333333333332,3.3867115498602516,,,,,,,,
greedy_deadline_price,709.6010760167441,155.4069655922975,108.72773673008041,1.680777667112916,0.1,0.1,0.06,0.07912177403926904,0.004255933411824198,0.9995445343885734,0.0023483000113628805,0.0,0.0,,,,,,,,
offline_centralized_lp,694.8199165924475,159.43636594692524,111.59885839511622,1.7211153301842268,0.0,0.0,0.0,6.394884621840901e-16,3.439786766326262e-17,0.9999999999999997,0.018365500000072643,0.020833333333333332,3.38671154986028,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,
online_lyapunov_admm,692.6539827323318,152.2400337576961,111.5988583951162,1.6600659458788471,0.34,0.34,0.34,0.41171698215579267,0.022146116942506983,0.9986181613411869,0.037092899990966544,0.0,0.0,,1275.0,46.0,27.717391304347824,0.00016168499901816067,0.005384565745258818,2.0,0.015
