slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,online_lyapunov_admm_ev_load_kw
0,0.0,0.4089258085048858,30.00000061925505,29.97571827422046,156.04965439706496,122.74965374065461,0.0,0.0,0.0,0.0
1,0.5,0.46268449153798263,30.10266321047052,25.723173351446995,156.04965439706496,122.6408313939662,17.6,17.6,0.0,17.59997048360144
2,1.0,0.44859503003680234,30.40889385576631,36.13364649799129,156.04965439706496,122.31622690995268,17.6,17.6,11.0,17.599958215002026
3,1.5,0.460531613393173,30.913454581803283,35.81283782893079,156.04965439706496,121.78139254035348,24.799999999999997,24.799999999999997,6.203799120874495,24.79999553293372
4,2.0,0.42623412233934327,31.607715984434424,30.033170909704662,156.04965439706496,121.04547545356446,20.927554103995792,20.927554103995792,24.799999999999997,20.927543531794022
5,2.5,0.43589584037414697,32.47980711009322,35.14131013445873,156.04965439706496,120.12105886036615,18.2,18.2,24.799999999999997,18.200005386521582
6,3.0,0.4303014603525988,33.51482297205025,34.8443127628805,156.04965439706496,119.0239420466917,10.523799120874497,10.523799120874497,24.799999999999997,10.523856113734006
7,3.5,0.438818509176484,34.69508799991182,25.334088270467973,156.04965439706496,117.77286111715843,2.8799999999999986,2.8799999999999986,20.927554103995796,2.880023306502935
8,4.0,0.47605052112666085,36.00047408514821,36.916937947323035,156.04965439706496,116.38915186680785,0.0,0.0,0.0,0.0
9,4.5,0.4681793204997483,37.408772997167276,37.179068471985275,156.04965439706496,114.89635502006765,6.6,6.6,6.6,6.599997459526656
10,5.0,0.521244635708049,38.896125006931236,39.21516099215251,156.04965439706496,113.31976188971784,13.2,13.2,13.2,13.199960877939738
11,5.5,0.5537982132425858,40.43750868782824,36.20942797251452,156.04965439706496,111.68589518796702,13.2,13.2,13.2,13.199998543788665
12,6.0,0.6355067628446415,42.00730096597073,40.924407850547574,156.04965439706496,110.02191537313598,13.2,7.417137603831161,13.2,13.199988349504071
