method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,dual_iterations,offline_admm_iterations,offline_admm_primal_residual,offline_admm_dual_residual,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta,n_ev
uncontrolled_capped,754.9707572656419,195.65899722595879,118.00000000000001,2.112138580267014,0.0,0.0,0.0,2.498001805406602e-18,1.343666705596196e-19,0.9999999999999997,0.0009257000056095421,0.0,0.0,,,,,,,,,,,,,50
greedy_deadline_price,720.5756809648162,177.18351778464947,112.95765945534845,1.9126958075339329,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.004253000020980835,0.0,0.0,,,,,,,,,,,,,50
offline_centralized_lp,664.5018793713134,191.96003375769607,145.18242140655667,2.0722082752001154,0.0,0.0,0.0,4.973799150320702e-16,2.6753897071426484e-17,0.9999999999999997,0.04391350000514649,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,50
dual_decomposition,672.655708732412,195.1269655922975,145.18242140655673,2.1063952995832196,0.0,0.0,0.0,6.039613253960852e-16,3.248687501530359e-17,0.9999999999999997,0.11967700000968762,0.0,0.0,,250.0,,,,,,,,,,,50
offline_admm,665.9748758414748,191.9600337576961,145.1824214065567,2.072225845490609,0.0,0.24,0.0,0.00034888757343207286,1.8766544339651475e-05,0.9999999990447486,4.303564700006973,0.0,0.0,,,200.0,0.004799282855075765,0.10035198304455364,,,,,,,,50
online_lyapunov_admm,754.1284514518067,169.80324900806548,96.69235221788203,1.833025817788713,0.0,0.0,0.0,1.340323182441594e-08,7.20955297585289e-10,0.9999999999999997,0.021087100001750514,0.0,0.0,,,,,,1041.0,45.0,23.133333333333333,0.00011396200293736599,0.00364597417868945,1.0,0.015,50
uncontrolled_capped,1519.263560695017,266.7909419111432,199.1533994051552,1.9873236840112871,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0006097000150475651,0.0,0.0,,,,,,,,,,,,,100
greedy_deadline_price,1455.0988443336519,248.34522163041345,187.38077108186397,1.8499216548421307,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0025110999995376915,0.0,0.0,,,,,,,,,,,,,100
offline_centralized_lp,1343.8224842198736,309.9056731018956,269.3424214065567,2.308484986607909,0.0,0.0,0.0,3.552713678800501e-16,1.8740552162306066e-17,0.9999999999999998,0.03315489998203702,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,100
dual_decomposition,1343.8582891099409,305.50455379472055,264.79999999999984,2.275701082579333,0.0,0.0,0.0,1.5099033134902129e-15,7.964734668980077e-17,0.9999999999999998,0.2200285000144504,0.0,0.0,,250.0,,,,,,,,,,,100
offline_admm,1346.8470231861916,306.9774290820767,266.4141773867378,2.2866725193199877,0.0,0.0,0.0,1.0658141036401502e-16,5.6221656486918196e-18,0.9999999999999998,7.926974400004838,0.0,0.0,,,200.0,0.0,0.19571169032803543,,,,,,,,100
online_lyapunov_admm,1519.2724422657523,257.2409629227999,187.99733366029216,1.9161859636322123,0.0,0.0,0.0,1.3552527156068806e-22,7.148953308985162e-24,0.9999999999999998,0.019815900013782084,0.0,0.0,,,,,,605.0,47.0,12.872340425531915,0.0001774935173785835,0.0019667600088841696,1.0,0.015,100
uncontrolled_capped,2911.25677954497,437.1767246710124,368.0999495189891,2.0631901240105943,0.0,0.0,0.0,9.020562075079397e-19,5.0411991128971487e-20,1.0,0.0010723000159487128,0.0,0.0,,,,,,,,,,,,,200
greedy_deadline_price,2800.365705566526,489.1496064582274,449.5598048767025,2.308468361319421,0.0,0.0,0.0,8.049116928532384e-18,4.498300746892841e-19,1.0,0.005651499988744035,0.0,0.0,,,,,,,,,,,,,200
offline_centralized_lp,2584.0036030496135,566.5925708623118,519.4557367300804,2.673948841674018,0.0,0.0,0.0,3.4638958368304885e-16,1.935820459352505e-17,1.0,0.07661560000269674,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,200
